Image_Path,VARI,GLI,ExG
IMG-20250213-WA0051.jpg,0.09129975,0.20340247,0.28684306
IMG-20250213-WA0052.jpg,-0.15938121,0.16962495,0.259375
IMG-20250213-WA0053.jpg,-0.059152562,0.21828555,0.41193977
IMG-20250213-WA0054.jpg,0.533574,0.16244985,0.2526186
IMG-20250213-WA0055.jpg,1.4170951,0.33413234,0.17856126
IMG-20250213-WA0056.jpg,-0.29003617,0.17299864,0.2698188
IMG-20250213-WA0057.jpg,0.27291667,0.12829179,0.18569924
IMG-20250213-WA0058.jpg,0.20445968,0.24366562,0.39875484
IMG-20250215-WA0023.jpg,0.0980794,0.23968108,0.36496755
IMG-20250215-WA0024.jpg,2.150915,0.20643465,0.35082218
IMG-20250215-WA0025.jpg,1.5204412,0.2802692,0.3235746
IMG-20250215-WA0026.jpg,-0.104203835,0.20249717,0.33582076
IMG-20250215-WA0027.jpg,1.3270721,0.35156864,0.29090488
IMG-20250215-WA0028.jpg,-0.451202,0.23030065,0.38231716
IMG-20250215-WA0029.jpg,0.06270996,0.1771133,0.34687498
IMG-20250215-WA0030.jpg,0.06548419,0.19204716,0.31581578
IMG-20250215-WA0031.jpg,13.400623,0.2146681,0.27195936
IMG-20250215-WA0032.jpg,45.204582,0.4154818,0.3053847
IMG-20250215-WA0033.jpg,1.1387843,0.17025502,0.28709263
IMG-20250215-WA0034.jpg,-0.34232253,0.14443807,0.3298319
IMG-20250215-WA0035.jpg,0.1766093,0.16175938,0.281764
IMG-20250215-WA0036.jpg,0.22802891,0.22422716,0.33485454
IMG-20250215-WA0037.jpg,-0.5134968,0.2000364,0.2994009
IMG-20250215-WA0038.jpg,-0.7960757,0.08853527,0.062953286
IMG-20250215-WA0039.jpg,0.090855725,0.17490055,0.30344892
IMG-20250215-WA0040.jpg,0.097788595,0.16876748,0.3402657
IMG-20250215-WA0041.jpg,-0.016743323,0.1596101,0.1887474
IMG-20250220-WA0026.jpg,0.12536135,0.11014594,0.23094591
IMG-20250220-WA0027.jpg,0.1956005,0.15058829,0.2324942
IMG-20250220-WA0028.jpg,46.630077,0.5237151,0.4986034
IMG-20250220-WA0029.jpg,2.3597362,0.2992282,0.49459282
IMG-20250220-WA0030.jpg,0.49312744,0.34953347,0.5248578
IMG-20250220-WA0031.jpg,1.6120955,0.37679774,0.32662517
IMG-20250220-WA0032.jpg,-0.26566154,0.322629,0.36693135
IMG-20250220-WA0033.jpg,0.24437018,0.15520236,0.36586708
IMG-20250220-WA0034.jpg,0.42156088,0.27376166,0.42881408
IMG-20250220-WA0035.jpg,0.019739363,0.08942035,0.21992072
IMG-20250220-WA0036.jpg,6.20057,0.3209887,0.34222552
IMG-20250220-WA0037.jpg,0.32266125,0.22832002,0.34758848
IMG-20250220-WA0038.jpg,10.842886,0.3736771,0.25839642
